position,text_of_post
non-toxic,"What a show. Moral of the story, don't be a jihadist and go kill westerners in other countries and expect Canada to kindly kiss your posterior.

And please, if you hate the west, stay out of Canada, because it's a western country."
toxic,"I thought comments were closed is this another tool to censor?
They must have been pretty stupid to get caught in today environment."
non-toxic,"It is good and proactive of GO Transit to see if more could be done to prevent a similar tragedy. However just like another comment, I am amazed at how foolish people behave at times with moving vehicles. Drivers are no saints (especially the distracted driver idiots) but pedestrians need to be responsible too. I see every day pedestrians walking in front of cars expecting them to stop, pedestrians head to toe in black crossing between lights and invisible to drivers. Hopefully this tragedy can be avoided again but people need to act like responsible adults too."
non-toxic,"Hopefully he grows a brain and abandons his desire to legalize pot, getting our young people hooked on another drug.  He's a pathetic leader and has no common sense."
toxic,Go ahead do it...just pay their fare/hotel to Alaska....anything to look good on the oil field. Damn State.
non-toxic,"Dumb Dumb Donald is true to his word:

Making China Great Again!

(What a dumbass...)"
non-toxic,"Well gee Gary, all the insults about Trump are what you call decorum? Hater, misogynist, Islamaphobe,Liar, Cheat, Pervert, Sex offender, Racists, dude, it goes on and on. Thats our POTUS you're talking about, very civil indeed. The Stock Market is not WAY up?  Almost a million new jobs, isn't up? Industry coming back and building new , isn't up?  ISIS is getting their asses kicked, isn't up?  And the failing NYT is anything but conservative, they DO NOT give the opposition equal play.  To say Trump is incompetent is patently absurd. Incompetence doesn't make you a multi BILLIONAIRE, incompetence doesn't make you one of the most successful builders in the world either.  On top of that ""Mr Incompetent"" has only run for political office ONCE, and  he won the PRESIDENCY doing it! Incompetent? HA! If you'd take off those damn liberal blinders, maybe YOUR perspective will improve. G""day. PS. I really do appreciate you nominating me for both AG and Press Secretary."
toxic,"I would have agreed with you a year ago. But white nationalist clowns like this particular one actually win ""elections"" in such corrupt systems - you never know."
non-toxic,"I'm going to smoke pot just to make this fair. Ten years ago we had just as many stoners as we do today. DUH. For decades the police have had to be trained for impairment, which included pot. DUH. We have spent hundreds of billions of dollars on prohibition that empowered the black market, and caused crime to increase. yet a simpleton like you fails to grasp youre profound stupidity has lost the war on drugs, people no longer buy into your refer madness lies/propaganda, and it totally sucks to be you. On behalf of the stoners of Oregon, thank you for your ability to continue to humiliate yourself in public for our entertainment."
non-toxic,"Only one phrase springs to mind when reading this primary school dribble: ""cuckoo land"". 
At least we knew that in the Pink Panther movies, that Inspector Clouseau, (the bumbling Police Inspector) was a fictional character, but to have a real live one in our midst is fairly freaky. And on top of it, he actually believes what he sprouts. Hell, we must have collectively done some seriously bad things in our past to be packaged with this idiocy."
toxic,Only a total crook would do what these scumbag Libs are planning.
toxic,"""This woman is absolutely crazy.""

Yeah, that seemed clear just from the police report. The best case interpretation is that she was temporarily crazy, but in my experience ""temporarily"" crazy is an incredibly rare thing."
toxic,Perhaps if you are islamic state scum you are not worthy of the title?
non-toxic,"Rick:  I just posted numerous questions about YOU and YOUR sister, and YOU Flagged them.  So, YOU are a LIAR about the open book."
toxic,CUCK FUCKSHITCUNT
non-toxic,"Good on screen, classless idiot in life. He should stick with what his good at, and keep his mouth shut off screen."
non-toxic,"What an inaccurate, ignorant statement.  Even the biased Hawaiian Studies folks would not make that claim."
toxic,Goddammit guys. Get your act together! You were a breath of fresh air post Harper era but we're starting to smell the rot already. Are you advised by morons? How could Morneau be so tone deaf to something like this??? And worse is Trudeau defending the practice! Gawd....is the ethical bar now that low??? God help us all.
non-toxic,"Too bad you can't stay rested for the rest of my life.

Another useless post on your behalf"
non-toxic,"Get your head out of your ass, don young. Weed is not going to solve Alaska's money issues. Stay  focused on ANWR."
toxic,Good: perhaps Dunleavy should be expelled from the Senate for religious intolerance and stupidity in general: the little man is dangerous to himself and others!
non-toxic,"The country is something like 80% self identified Christians, so the odds are damn good.  Besides who else in this country seems to hate and/or fear Muslims, hint, it isn't the atheists."
non-toxic,"The abortion gospel makes women cheap, accessible, childless, and exchangeable to wicked men.  Belief systems which preach the Satanic abortion gospel also preach the ""moral goodness"" of promiscuity, homosexuality, prostitution, pornography, and trans gendering.  Only a belief system will claim to know what is morally good.  What underlying belief system ties these beliefs together?  Is it government sanctioned and taught to children in our public schools?"
non-toxic,"That's called reporting the news. Are you saying Trump is not a blatant attention seeker and media hog? Or that he hasn't attacked the media over and over?  As for ""inflammatory"" stories:   whats your definition of inflammatory? And why the sudden fake outrage? When the same - and far worse was done to Clinton - you and your fellow haters ate it up and regurgitated the foulness onto the comment pages without so much as a blink.  Hypocrite."
toxic,"The writer is a fool; that dangerous kind of fool who believes they are imbued with all the answers and all the solutions, and if only they can cajole, coerce, force, tax or manipulate everyone to do what they believe is correct, all will be well in the world. 

These fools are virtually always wrong.  It doesn't pay to be guided by fools."
toxic,"And he will continue to look like a complete IDIOT. That's ok, he's digging his own grave!"
toxic,"Yes indeed, smart Americans didn't drink that koolaid as you did.  Socialism sucks"
toxic,"They want to put those awful roundabouts on Franklin now, too? Damn it. Yet another area I'll have to avoid."
toxic,But our idiots in Congress want single payer.
toxic,Blowback from his birther bs. Suck it up and get to work.
toxic,Maybe people that live in the Midwest should have to pay when a tornado levels their home.  You stupid mf.  Bet you don't own a damn thing is your pathetic shitty life
non-toxic,"Yay, you and your dumb pResident get a gold star. Now what?"
non-toxic,"And do you define ""solid proof'? Outside of mathematics and physics (correct me if there are others) you can never have definitive 'proof' of anything.

You can have evidence and in this case there seems to be many converging threads of evidence. The question is, why is all this evidence appearing in the political discourse now? Some people think that it's because Obama's a sore loser, or the intelligence communities want to embarass Trump, or they are simply inept. 

My theory is simpler. There is evidence because the attempt to influence the election was real and the dividends the Russians will accrue as a result are considerable. They aren't stupid."
toxic,"Ridiculous nonsense. This is a simple case of ""gimme a hand out"". Both authors attend Wits. So they want the best for themselves but are not prepared to pay for the best. Surprise, surprise...state funding is only a small portion of the budgets of universities like Wits. In order to offer quality education much more is needed. Someone must pay for that - but apparently these freeloaders do not want to contribute."
non-toxic,these types of beliefs are why america has become a fucking cesspool of selfish filth and greed but this turd will be flushed like the rest.
non-toxic,Because our government is screwed up
toxic,"Are u stupid... did you not read article small amount of Marijuana...... massive amounts of meth and herion .... yep blame it on weed.... you obviously  never smoked any. If so you would realize a ""reffer"" head would have been to lazy and hungry to steal a boat.. as a matter of fact. I guarantee  alcohol  which is legal same as Marijuana  played huge part in this... not defending the meth heads or tweakers out there,  but really your simple minded antics are what is wrong with our community..."
toxic,"This woman is disgusting. Make the ignorant voters think there's a positive, to ensure she returns to power. This is nothing more than vote buying. Notice that she'll be in retirement by the time the clueless, well, clue in. Oh my God. 

Fire her now. Don't vote Liberal anymore."
toxic,What a knucklehead. How can anyone not know this would be offensive??
non-toxic,Impossible.  You are embarrasing yourself here Klens75.  Best bow out now before more people laugh at you.....maybe they will start imposing duting on the GM plants in the America too...idiot.
toxic,To the Chinese Trudeau is a useful idiot.
toxic,NANA is a whore for Trump.
toxic,I say it's high time the G&M got rid of this pompous so called columnist full of sour grapes who continues to write nonsense.  Get over it: Trump won and we'll have at least four years of him.  Let's move on.  This whining based on expectations of the doomsday scenario is nauseating!
toxic,"The Leftnut media, NYT, WaPo, CNN, MessNBC, are all liars, traitors and crooks.  They have only one agenda: hate and kill Republicans.  They have no other function in life.  Sad, pathetic, but criminally liable.  Jail them all!"
toxic,He wants to go help terrorists then just ship him to Syria and be done with him.
non-toxic,"Spot on, screw the locals."
toxic,That idiot doctor got millions.. why settle for $30?  Ann sue the shiite out of this crappy airline.
toxic,Stupid kine popo.
toxic,The usual left wing loonies - ho hum
non-toxic,"What are we supposed to watch, CNN ? What an idiotic statement. Are you actually insinuating CNN and MSNBC are ""objective"" ?"
non-toxic,"There are two very important factors to take from this .... one is that the anc(another new corruption can not self correct but that they are self destructing!! ..... and two is that the anc has no real vision, mission or plan for themselves or the country. If they had they could galvanize the party behind it, but they have nothing. All that they have is everyone fighting amongst themselves for best position to maintain the looting game expecting the anc electorate to support them in the process. How stupid,! 
The country is in a jobs, growth, confidence crisis. Do you see any focus on this in this squabble?? It is all about them at the expense of the country!! How dumb can you be?."
toxic,What a stupid headline. Globe - please do better.
non-toxic,"Do not sign the petition to return Alaska to the poverty, illness, abuse and honey-buckets of the past.  Do not believe the lies from people how want to control you and hold you back.  Help develop a better future for Alaska with development, education, healthcare, jobs and optimism.  Do not sign the moronic petition."
toxic,Just another day in the Trump kleptocracy.
toxic,To live 71 years and have your life snuffed out by these 2 piles of shit is disgusting....
toxic,What has your body odor to do with anything you right wing idiot.
non-toxic,You all need to quit talking about shit that is irrelevant. What's relevant is that a beautiful young woman is gone. Say some prayers for her children that got left behind and her mother who is devastated. It doesn't matter what info the police released or didn't release. It's really none of anyone's business until it is determined what exactly happened. The register guard really needs to stop with the publicity shit as well and allow a mother to grieve for her daughter without constantly having that wound reopens. Have some respect .
toxic,One thing has become abundently clear ..... Paul Ryan is an idiot.
toxic,"yes the sky is still falling regardless of the propaganda, shell left taking 12 billion in investment out of alberta, thousands out of work and going no where,, the feds working with alberta to keep those out of work with thier hatred of resources!,, you are an idiot"
toxic,"Trump is definitely a worthless stain on America.
He's definitely a sick, fascist, white supremacist traitor."
non-toxic,"Annihilate means kill them all, not carpet bomb, bozo."
toxic,"Again, the argument for illegal immigration by CALLING it immigration.  Listen up nut jobs, immigration is not the problem. Its ILLEGAL immigration.  Quit saying immigration when talking about illegal immigration. Damn!"
toxic,"Thanks for confirming that Trump supporters are bigoted knuckle-draggers who are too stupid to understand that they've elected Nero, who is preparing to burn Rome and the common people in it, down."
toxic,Such venom and hatred.  You probably have a picture of Kathy Griffin in your room.  No cure for stuck on stupid.
toxic,"And when the city planners restrict access to improve safety, they get blamed for ""stupid"" designs that just cause traffic problems. 
It's a no-win scenario."
toxic,"I watch football to try and escape from crap like this.

Just shut up and play."
toxic,"testing purposes: 

you are an idiot and i can't stand ignorant donutholes."
toxic,"""The guy is completely bonkers.""

Well yes, but that has been apparent for some time now."
toxic,FUCK OFF AUTOPLAY.
toxic,Hard to feel sorry for folks who have been making State of Alaska union wages with over-sized health and retirement benefits but instead of preparing for the day when they would not be in the same position by saving money and eschewing expensive adult toys got themselves into debt. Now the rest of us pay for their childish greed and idiocy.
toxic,Juan Valdez are you stupid?  do you have any idea how the media is operated in real communist countries?  Please review the fact that ALL the news media in Russia is controlled by Putin.  Do you have any idea how the Chinese operate their media.  I can tell you that China and Russia do not report anything that is not approved by their leaders.   So what you are suggesting that you have no problem if Trump could approve all the news release?  We know one thing all ready Trump does lie a lot and he for some reason thinks people don't see through the lies.  Listening to his spokesmen try to rationalize his recent lies on the size of the the inauguration is funny but sad.
toxic,"Because of allie, I just might change my views on abortion, going from pro-life to pro-choice.  And with the other nuckle head liberals here, there is just no way to fix stupid."
non-toxic,You gotta hit the Americans where it hurts.
toxic,"I agree, Kim is just an attention whore."
non-toxic,"Have these clowns in Canadian government ever had a original thought since the first tax increase.  That is all every single one of them knows, tax and spend.  To think these same people hate Trump.  Voters are such fools."
toxic,"Anyone who voted for Hillary is blind, gullible and a fool."
non-toxic,"FACT: NOT ALL MUSLIMS ARE TERRORISTS, BUT ALL TERRORISTS ARE MUSLIM."
toxic,"Mulroney, you are a thief and a liar.

When are you going to pay back the $2,000,000 you stole from us to clear your 'good' name?

Thief! Liar!"
toxic,"Wow, the Liberals just keep marching on, one  ridiculous decision after another."
non-toxic,"Comparing Obama to Trump is laughable.  When you have video of Obama joking about having sex with his own daughter, let me know."
toxic,It's so stupid people can appear smart.  They need to get over themselves.
non-toxic,"typical liberal trolling left wing stupidity comment, if you bothered to read the news you would see a clear majority of canadians are in deed fed up with this illegal crossing bs and it is important to them!"
toxic,"Yes, I'm biased against the willfully ignorant.  I don't need anecdotal stories  from my running group, I just have to listen to the president and owner of the birther movement that rode a wave a hate,contempt and intolerance to the WH."
non-toxic,"trump is a disgusting porcine misogynist and now EVERYONE in the world knows it.

trump is HORRIBLE FOR AMERICA.

trump is FINISHED.  He's trash to be taken to the curb and DUMPED.

End of Story."
non-toxic,"So Alt-right excluded him and fellow Bernie Sanders supporters disavowed him-- gee, it sounds like no one wanted him, ""Frank.""  Man it sure sucks when you can't pigeon-hole him into your failed narrative, huh?"
toxic,petulant child
non-toxic,I see that you have joined the dumb group. How disappointing for a college professor!
toxic,"She doesn't understand what someone has to do to be impeached, and she thinks being impeached means booted out of the presidency.  She's a real idiot."
toxic,this is such a load of shit!!!!!!!!!!!!!!!! maybe if it was their kids things would be different!
toxic,That is one of the stupidest ideas I have ever heard of and it figures it is Toronto and its NDP City Counsel. The stench coming from chicken poo is unbearable at the best of times but combine that with a hot summer day! I guess they want the new arrivals to think that they have all the good of the new world and for nostalgic measure the odors of the old world.
toxic,A discussion on Nextdoor got pretty testy the other day with claims that those of us who are concerned about illegal fireworks being told we were unpatriotic. Some of my neighbors are idiots.
toxic,Injustice served. Oregon has an insatiable need to constantly outdo itself when it comes to acts of stupidity.
non-toxic,"Steve L is awaiting your thought on his ""idiot"" comment."
toxic,"Yeah, this idiot is selling Canada to China. in the soon future, Canada will be controlled by fucking China."
toxic,The bastards grind on me when they try to put all the blame on Republicans only.
non-toxic,Republican White House plus republican senate plus republican house equals one big zero. The three ring circus tent is coming apart at the seams. You would get more cooperation from a bunch of kindergarteners. This is what you get when you give absolute power to a bunch of idiots.
toxic,How about we stop protecting idiots and let nature add some bleach to the gene pool. We can always submit their names for the Darwin awards.
toxic,"I bought a solar powered flashlight,darn thing doesn't work at night."
toxic,"G&M censorship system is the worst, plain stupid one."
toxic,that alright we don t need his crap up here
toxic,"Who is this movie made for? Movies like this are made for international audiences, mainly China. Same as the recent terrible movie The Mummy. Producers and film makers of these types of movies do not care at all about the North American box office. The box office is global now. Producers know these movies are garbage. But international audiences eat them up. ""Let them eat cake!"""
non-toxic,"-There's only one group of people on the planet beheading other people who do not believe as they do.
-There's only one group of people pushing gays off rooftops.
-There's only one group of people flying airliners into skyscrapers.
-There's only one group of people vowing to exterminate all other groups.
-There's only one group of people carrying out daily suicide bombings.
-There's only one group of people that strap bombs to their children and send them into crowded marketplaces to die and kill others. 
-There's only one group of people calling America ""the great Satan"" and vowing to kill Americans indiscriminately.
-There's only one group of people that have legalized pedophilia, honor killings of women and daughters, oppressing women, male guardianship of women, modesty dress codes, lack of marital rights, forced marriage, stoning deaths of homosexuals, women committing adultery, etc.

And that group is defended and supported by the Western Left (read Merkel, Hillary & Obama)"
non-toxic,"I am so tired of articles which praise Francis, while ignoring his inaction on the scandal, his positions regarding women, and his refusal to recognize that the position of the Church regarding gays is so terribly wrong."
toxic,Take your damn phone out of your ear in court.
toxic,It is Trump who is the terrorist.
non-toxic,"But he is.  

But really, #NotMyPresident is just as stupid if you're an American."
non-toxic,"Trump is his own worst enemy. 

I can't wait to hear Sean Spicer say that this is fake news and that Trump was clearly just helping him adjust his suit.  Then Trump will tweet out that he pushed to the front because America is number one.  And the whole media circus will run on overdrive until the next time he does something stupid."
toxic,"What is ""beer muscles with a side of fireball""?  Other than pure stupidity of course."
toxic,Reality is Putin has been punking Obama for eight years. Yup! The hacks are real but whats funny is the DNC knew about it a year earlier and were to Stupid to turn off their computers or unplug their servers LOL. Where was Obama's backbone with dealing with Russia concerning Crimea or the Ukraine? Obama handed Syria (and it's oil) to Putin who has established army/air bases and a navel port and flying sorties out of Iran. Thank god we have new leadership that will negotiate from a position of power NOT weakness...Turn off your computer...
toxic,You are beyond pathetic. Seriously. Have you any working brain cells? Just asking.
toxic,"You're being ridiculous. This system is no longer something that you can credibly repair with cast ballots. Haven't you been paying attention. Didn't you scrutinize the US 2016 General Election and the primaries that preceded it? Haven't you read about the military-spec Psychological Warfare that was conducted on the US electorate during this past election cycle? What part of money is not equal to speech, therefore Elections with money equal to speech are not credible liberal democracy hasn't yet been made sufficiently obvious to you yet? Are you waiting for some sort of supernatural indication?

This is off the rails, it's beyond democratic control because the system has failed. Now it's threatening everything: the country, peace, goodwill, humanity generally, credible justice, credible decency, credible government, credible hope. Wake up. Smell the coffee friend. We're wading up to our eyeballs in feces and it's getting deeper, you know."
non-toxic,"Republicans are hypocrites, but you knew that already."
non-toxic,"Some of us remember your cracked pot posts about Harper as obvious manifestations of Harper Derangement Syndrome.

And if you are going to post the same childish and stupid and tedious TDS accusation every time someone posts a negative comment - whether provable or just reasonable opinion - then it is obvious to all that YOU are the tiresome troll who needs to get some help.

I guess inasmuch as you are a left wing, Trudeau worshipping troll, you'll get away with this moronicity here.

Pity."
toxic,where is pie chart section of people who don't give a shit
non-toxic,He should have died in Afghanistan and be with Satan now--but we are stuck with this deviant killer.
toxic,I hope you are enjoying that liberal Kool Aid. It's amazing how stupid liberal voters are.
toxic,"His ""idiotic"" spending was on paying the interest on PET's deficits"
toxic,"You got that right, Stevens; one damn thing after another by the Republicans.  Like cats on a hot tin roof."
toxic,"Well yes, if I'm murdered, that's what I'll most likely do.  Die.

Damn, I'd hate to be a foreigner trying master this language."
non-toxic,"I suppose he would also have to kill some and live with barbaric religious warriors out to destroy our way of life.

Priceless."
toxic,"Run the damn rioters into the jail.  PEACEFUL protest is the right, riot is the wrong."
non-toxic,All the flat earthers have now created Civil Comments accounts. Let's brace ourselves for a second deluge of their nonsense!
toxic,Docs have been doing this for years. You wouldn't even want to know what they say and do during colonoscopies. These nurses were merely too stupid to keep their mouths shut- this happens all the time.
non-toxic,"Some people are still smarting after that ass-kicking Hillary gave Donald in the debate, I see."
non-toxic,"I'm afraid google is not your friend on this one.  Cover your arse, as they say."
toxic,Organized idiocy!
toxic,"(cont.)  So me>you, what do you NOT understand about my stupid points and the DRUG and VIOLENT History of this woman and man?   If YOU think these are stupid points, I would hate to see what YOU consider good points...................."
toxic,"So, The Donald admires this scary freak? That seems about Right."
non-toxic,Pretty much the NRA. And the GOP. You know...crazy white men with guns.
toxic,"Fuck you, Frank, you ignorant asshole.    There I got my money's worth from my account restricted by the lefty assholes on the ADN.   Fuck you all."
toxic,I FOUND HIM.  The only person or thing this whining bitch has not blamed is the man in the moon.
non-toxic,Go suck his d!ck.
non-toxic,"Trump is a vacuous buffoon.
And a traitor."
toxic,"Stupid travel doctors keep telling people to take this drug. I tried it once and the side effects were bad, inflammation, upset stomach and depression. Never took it again. Doc's kept telling me to take it when traveling.  I don't think it is much different than cloraquine. Doxy is another one that causes cancer, stupid doc's tell you to take that too. 
Malaria is a disease that can be cured in a few days, the important part is to be aware of the symptoms and take the drugs when you get a high fever."
toxic,"You mean Joshua Witt, who described the attack for Facebook but has not filed a polics report? Most news agencies report crimes filed by police departments, if he didn't report a crime, no one's really going to listen and the local news will generally overlook it. If he filed a report, it would be found under the Crime section of the News first. Nothing about a stabbing in Sheridan currently listed, but that could change. A cut that requires 3 stitches isn't really a knifing, that's closer to ""attacked by a drunk idiot"" headline."
non-toxic,"Let us know when you actually have any evidence.

We've been waiting for over a year now.

Put up or shut up."
non-toxic,Butts butted in and spanked Justin's butt.
toxic,"Because 13 plants are DANGEROUS.  SMDH.

Grow the hell up you damn cowardly children."
toxic,"Yes, we have idiots in Alberta."
non-toxic,A criminal family syndicate!
non-toxic,"If it is about the Trump factor then all the Commissioner has to do is not allow the political increase just the actuarial alteration needed. 

Blaming it on Trump is silly, put the blame where it belongs."
toxic,"boo hoo hoo. Poor ting. Mayor Caldwell is so hated.   

Nice try dragging Trump into this. Too pathetic."
non-toxic,"You can justify this if you are a fat white overweight bigot, or it seems like it anyway from the looks of these two, lol"
non-toxic,He's been a bumbling fool in every political role he's had.
toxic,So if the state oil subsidy structure is so flawed why the heck are we electing oil guys to the legislature? Stupid is as stupid does.
non-toxic,Same place you got your silly stuff.
non-toxic,"Lets see, you say BCers are ""Selfish Liars"" and need to learn to ""compromise"".
So your idea of compromise is:

1) Alberta gets it's pipeline
2) Alberta gets to pipe toxic sludge into BC where all of it gets shipped out of the country
3) Alberta corporations get rich
4) BC gets a seven fold increase in tanker traffic
5) BC gets virtually all the risk when (not if since it WILL occur sooner or later) a pipeline breaks
6) BC gets to deal with destruction of the coastline when (again not if) a tanker leaks/breaks (with ""some"" help from the federal government but not as much as would be needed. It never is.). 
7) BC gets all the responsibility, work, and blame to clean up and restore fragile coastline ecosystems
8) BC gets to have it's major industries (tourism, coastal tours, whale watching, parkland vacationers, etc..) ruined with the damage and destruction of the coast

You can take your ""compromise"" and stuff it in your tar(sands) hole. You are the selfish liar."
toxic,"The problem with Trump's misogyny is that when he acts like a jerk, all the other jerks feel like they can act like one too. Being the recipient of all that hostility and anger makes life miserable for women, children, co-workers, Globe and Mail readers, minorities, liberals and anyone else who does not worship at the shrine of Trump."
non-toxic,"The pendulum has swung TOO FAR in the favor of The Woman, (from a point it probably never should have been - a Male dominated relationship).  It is Now NOT ""equal"" but mostly Woman centered.  Unequal and Grossly Unfair.
Any Man who does not get a Prenuptial is a bloody Fool!"
toxic,Not a single NRA member was involved in this shooting.  You are a blankenyblank idiot.
non-toxic,"Stupid & boorish voters are drawn to the likes of the Donald, O'Leary & the Ford Fantasy because they see themselves reflected in the similar stupid & boorish so-called populists, if the same voters took the time to get off the couch & critically examine these so-called populists, they would see the Grand Illusion these so-called people's champions really are."
toxic,"Well, here is a first, a column by Jenkins that he wrote himself rather than his usual Cut And Paste partisan crap. Good job Paul!"
toxic,Bullshit.
toxic,"What a ridiculous comment, absurd."
toxic,"The people who voted for this clown are responsible, no one else.  They were and are a combination of arrogance, vanity, self-pity and stupidity all rolled into one, that no one - and I mean no one - can  get through to.  I've stopped trying.  But I refuse to allow you to shift accountability to me for your utter stupidity in choosing to vote for Trump.  That's on you.  Indeed, Trump is acting exactly as he did as a candidate.  He's an incompetent, sexually predatory, venal, bullying, boorish, ignorant, narcissistic, mentally unstable pathological liar and that hasn't changed. Why do you think liberals and democrats were and are so amazed that anyone would actually think he could lead our great nation, and vote for him? 
Look at him. Same bloviating sack of air who campaigned for president, surrounded by the same slimes he had with him on the campaign trail.  How many times Did Trumpnuts rebuff efforts to educate them? Countless times. I've had enough of stupid to last a lifetime."
non-toxic,"Except for one thing, they are liars. They only care about being thugs."
toxic,It’s likely not racist ignorant hate but rather stupid kids that are bored and lack parental guidance. So quick to judge.
toxic,The treasonous seditious protesting anti American commie fag cant accept the outcome of the election so he likens the president to adolph hitler its his own partys fault they lost total loser. Canada awaits you. Suck it.
toxic,Trump is a kook too.
non-toxic,"shoot and wing the SOB s..they are outlaws,with a bounty,i have had one of my vehicles stolen from me couple years back..its maddning i tell you.....these puss sacks know that its not GTA,unless they are proven to or witnessed in the stealing or jacking of mtr vehicle....its only a misdemenor to be in possesion of a vehicle thats been reported stolen....1000.00 bail.......so with that it is exsperating to deal with,however when they get caught,as they do ..in time most of the time,punitive damages can be attached and a civil ensued.resulting in judgement to you,but,they never have any money,or divedend to attach.......in short it really seems that these maggotts are already dead,they just dont know it yet......how long can you live on streets criming,and backwards simping..the life expectancy has got to be brief,short at best.....if it take this to messege the puss bags,dont F*** With my SH*T,or else.one armed bandits are what we will see next......"
non-toxic,Momans with knives beheading Muslims is a terror.
non-toxic,The most worthless president in history has used race to forward his sick agenda. Obama is the ultimate bigot.
toxic,"From listening to the dems and FakeNews.com you would think that the Russians are threatening our way of life and our democracy. During the 2012 presidential debates, Mitt Romney was asked what was the greatest geopolitical threat that we face. His answer: Russia. Obama scoffed at the answer and jokingly said, ""The 1980s are now calling to ask for their foreign policy back because the Cold War’s been over for 20 years.” The audience roared in laughter. Now those same idiots are screaming ""The Russians are coming!"" ""The Russians are coming!"" Collusion, Collusion, Collusion! Impeach! Impeach! Impeach! What a bunch of Creepy Clowns."
toxic,"Katebat...there are so many CNN and Obama brainwashed idiots that still claim victory when they a placed under a rock.  This Russian thing will go no where and will eventually spell the end of Obama, the Clintons, the last AG...what's her name?  Also, the rest of the corrupt donkeys of the former administration."
toxic,"This is why we have Congress and the federal judiciary.  Trump will be stopped again on this latest of his idiotic ideas.

Worst President Ever.  No one else even comes close."
non-toxic,"wrong,stupid sht, just you shut up, except u, others say/can say any no matter what and it can all b perfx. pussix cows"
toxic,"I would not consider these troublemakers ""liberals"" in any fashion; the actual liberals stayed at the peaceful protest.  For years Eugene's liberals have been plagued by these anarchists and other extremists who give liberals and Progressives  a bad name, and now that our nation faces a crisis of authoritarianism we need to make clear these fools do NOT speak for us."
non-toxic,"Our loss, their gain.  Just a few fools ruining it just like The Ferry to the outer islands."
non-toxic,"I hear ya Rudder.  The same folks who are furious about a couple guys dropping a charging moose and charging dog, will try to say guns are irrelevant for stopping bears.  The facts say otherwise.  Projecting your own inadequacies onto other people just makes you look silly and off your meds.  But if the instructions on your RX bottle say do not operate machinery, then by all means, bring pepper spray and an orange whistle."
toxic,Yep! A fool with the power to stomp the Chump like the cockroach that he is.
